id,club_code,current_club,previous_club,first_name,middle_name,last_name,jersey_name,jersey_number,nationality,position,appearances,substitute_appearances,goals_scored,own_goals,assists_made
3331,BOU,Bournemouth,Barnet,Frank,,Vincent,Vincent,48,England,Midfielder,,,,,
3332,BOU,Bournemouth,West Ham United,Charlie,,Seaman,Seaman,49,England,Defender,,,,,
3333,BOU,Bournemouth,,Sam,,Sherring,Sherring,50,England,Defender,,,,,
3334,BOU,Bournemouth,Burnley,Shaun,,Hobson,Hobson,51,England,Defender,,,,,
3335,BOU,Bournemouth,Millwall,Mikael,,Ndjoli,Ndjoli,52,England,Forward,,,,,
3336,BOU,Bournemouth,St Kevin's Boys,Gavin,,Kilkenny,Kilkenny,53,Ireland,Midfielder,,,,,
3337,BOU,Bournemouth,Viitorul Mihai Georgescu,Mihai,,Dobre,Dobre,54,Romania,Midfielder,,,,,
3338,BOU,Bournemouth,,Tyler,,Cordner,Cordner,55,England,Defender,,,,,
3339,BOU,Bournemouth,Arsenal,Jaidon,,Anthony,Anthony,56,England,Forward,,,,,
3340,BOU,Bournemouth,,Keelan,,O'Connell,O'Connell,57,England,Midfielder,,,,,
3341,BOU,Bournemouth,Watford,Dinesh,,Gillela,Gillela,58,England,Defender,,,,,
3342,BOU,Bournemouth,,Nnamdi,,Ofoborh,Ofoborh,59,England,Midfielder,,,,,
3343,BOU,Bournemouth,Eastleigh,James,,Boote,Boote,60,England,Midfielder,,,,,
3401,BUR,Burnley,Bristol City,Thomas,,Heaton,Heaton,1,England,Goalkeeper,,,,,
3402,BUR,Burnley,Aston Villa,Matthew,,Lowton,Lowton,2,England,Defender,3.0,0.0,0.0,0.0,0.0
3403,BUR,Burnley,Leeds United,Charlie,,Taylor,Taylor,3,England,Defender,4.0,3.0,0.0,0.0,0.0
3404,BUR,Burnley,Swansea City,Jack,,Cork,Cork,4,England,Midfielder,4.0,0.0,0.0,0.0,0.0
3405,BUR,Burnley,Brentford,James,,Tarkowski,Tarkowski,5,England,Defender,4.0,0.0,2.0,0.0,0.0
3406,BUR,Burnley,Manchester City,Ben,,Mee,Mee,6,England,Defender,4.0,0.0,0.0,0.0,1.0
3407,BUR,Burnley,Charlton Athletic,Jóhann,,Guðmundsson,Guðmundsson,7,Iceland,Midfielder,3.0,0.0,0.0,0.0,1.0
3408,BUR,Burnley,Wolverhampton Wanderers,Sam,,Vokes,Vokes,9,Wales,Forward,4.0,4.0,0.0,0.0,0.0
3409,BUR,Burnley,Brighton and Hove Albion,Ashley,,Barnes,Barnes,10,Austria,Forward,4.0,4.0,0.0,0.0,0.0
3410,BUR,Burnley,Leeds United,Chris,,Wood,Wood,11,New Zealand,Forward,4.0,0.0,0.0,0.0,0.0
3411,BUR,Burnley,Norwich City,Robbie,,Brady,Brady,12,Ireland,Midfielder,,,,,
3412,BUR,Burnley,Derby County,Jeff,,Hendrick,Hendrick,13,Ireland,Midfielder,4.0,0.0,1.0,0.0,0.0
3413,BUR,Burnley,Middlesbrough,Ben,,Gibson,Gibson,14,England,Defender,,,,,
3414,BUR,Burnley,Anderlecht,Steven,,Defour,Defour,16,Belgium,Midfielder,,,,,
3415,BUR,Burnley,Aston Villa,Ashley,,Westwood,Westwood,18,England,Midfielder,4.0,0.0,0.0,0.0,0.0
3417,BUR,Burnley,Manchester City,Joe,,Hart,Hart,20,England,Goalkeeper,4.0,0.0,0.0,0.0,0.0
3419,BUR,Burnley,Preston North End,Anders,,Lindegaard,Lindegaard,22,Denmark,Goalkeeper,,,,,
